"(Benchmark_method, commit)",Change Attribute Type,Change Parameter Type,Change Variable Type,Add Method Annotation,Extract Method,Remove Method Annotation,Add Parameter,Modify Method Annotation,Inline Method,Extract Variable,Inline Variable,Change Return Type,Extract Superclass,Pull Up Method,Add Parameter Annotation,Remove Parameter,Remove Parameter Annotation,Move Method,Add Class Annotation,Replace Variable With Attribute,Move And Inline Method,Parameterize Variable,Reorder Parameter,Replace Attribute,Pull Up Attribute,Extract And Move Method,Move Class,Move Attribute,Remove Class Annotation,Extract Class,Extract Subclass,Push Down Method,Push Down Attribute,Add Attribute Annotation,Remove Variable Annotation,Remove Attribute Annotation,Move Source Folder,Extract Interface,Change Package,Merge Attribute,Modify Class Annotation,Merge Variable,Extract Attribute,Modify Attribute Annotation,Merge Parameter,Split Attribute,Add Variable Annotation,sum,delta
"(io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observableDedicated,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.OperatorMergePerf.merge1SyncStreamOfN,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableDedicated,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.PublishProcessorPerf.subject1k,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.EachTypeFlatMapPerf.singleJust,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BlockingGetPerf.single,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.CallableAsyncPerf.subscribeOnMaybe,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.RangePerf.rangeSync,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.flowFlatMapCompletableAsFlow0,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableFlatMapMaybeEmptyPerf.observableDedicated,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.TakeUntilPerf.observable,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableFlatMapSinglePerf.flowableConvert,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
