"(Benchmark_method, commit)",Move Class,Extract Attribute,Extract Variable,Extract Method,Inline Method,Extract And Move Method,Change Variable Type,Change Return Type,Merge Attribute,Change Attribute Type,Inline Variable,Extract Class,Move Method,Move Attribute,Move Source Folder,Change Parameter Type,Change Package,Extract Superclass,Pull Up Method,Merge Variable,Push Down Method,Parameterize Variable,Split Attribute,Pull Up Attribute,Replace Variable With Attribute,Extract Interface,sum,delta
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,a34675c7c2edefff45d36cdfbf7bee37e04112a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,a34675c7c2edefff45d36cdfbf7bee37e04112a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,1bcb054a125f18cdd80fbfcbfda9406a3924f3a5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,1bcb054a125f18cdd80fbfcbfda9406a3924f3a5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,1bcb054a125f18cdd80fbfcbfda9406a3924f3a5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,1bcb054a125f18cdd80fbfcbfda9406a3924f3a5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,ee5c0084b8590266453eeb7c62f122fdaf8754ac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,ee5c0084b8590266453eeb7c62f122fdaf8754ac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,ee5c0084b8590266453eeb7c62f122fdaf8754ac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,ee5c0084b8590266453eeb7c62f122fdaf8754ac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,77980bec2e333d6077d9e52b6a2e1f211595baae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,77980bec2e333d6077d9e52b6a2e1f211595baae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,77980bec2e333d6077d9e52b6a2e1f211595baae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,77980bec2e333d6077d9e52b6a2e1f211595baae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,2b6b53b9445a3babef98b6cf07b68bb3f55a2d70)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,2b6b53b9445a3babef98b6cf07b68bb3f55a2d70)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,2b6b53b9445a3babef98b6cf07b68bb3f55a2d70)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,2b6b53b9445a3babef98b6cf07b68bb3f55a2d70)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,e05e9c5e4be580691cc55a59f3256595393203a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
