"(Benchmark_method, commit)",Extract Method,Change Attribute Type,Parameterize Variable,Extract Variable,Change Return Type,Replace Variable With Attribute,Change Variable Type,Change Parameter Type,Pull Up Method,Extract Attribute,Move Method,Move Class,Extract Subclass,Pull Up Attribute,Push Down Method,Push Down Attribute,Move Attribute,Inline Method,Extract Class,Inline Variable,Split Variable,Extract And Move Method,Merge Attribute,Split Parameter,Extract Superclass,Split Attribute,Move Source Folder,Change Package,Merge Parameter,Replace Attribute,Extract Interface,Merge Variable,sum,delta
"(org.apache.bookkeeper.stats.codahale.TimerBenchmark.timerTest,dba831375ad0f10821c04258fb08f70cce3f4b67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV2,dba831375ad0f10821c04258fb08f70cce3f4b67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV3WithExtraContextDataNoMdc,dba831375ad0f10821c04258fb08f70cce3f4b67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.checksum.DigestTypeBenchmark.digestManager,dba831375ad0f10821c04258fb08f70cce3f4b67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.stats.StatsLoggerBenchmark.counterIncrement,dba831375ad0f10821c04258fb08f70cce3f4b67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV3WithMdc,dba831375ad0f10821c04258fb08f70cce3f4b67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.stats.StatsLoggerBenchmark.recordLatency,dba831375ad0f10821c04258fb08f70cce3f4b67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.common.OrderedExecutorBenchmark.submitAndWait,dba831375ad0f10821c04258fb08f70cce3f4b67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.stats.codahale.TimerBenchmark.timerTestWithSnapshots,dba831375ad0f10821c04258fb08f70cce3f4b67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV3,2f996dcf0159f945f7ec97ce7402e5d293009444)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
