"(Benchmark_method, commit)",Extract Variable,Extract Class,Move Method,Extract And Move Method,Extract Superclass,Move Class,Change Attribute Type,Change Parameter Type,Change Variable Type,Change Return Type,Replace Variable With Attribute,Merge Parameter,Pull Up Attribute,Pull Up Method,Move Source Folder,Move Attribute,Extract Method,Push Down Method,sum,delta
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
